GFPR	Timema genevievae
GFPS	Timema californicum
GFPT	Timema cristinae
GFPU	Timema douglasi
GFPV	Timema monikensis
GFPW	Timema podura
GFPX	Timema poppensis
GFPY	Timema shepardi
GFPZ	Timema tahoe
GFQA	ciliate metagenome
GFQB	Camellia sinensis
GFQC	Camellia sinensis
GFQD	Camellia sinensis
GFQE	Acropora gemmifera
GFQG	Amaranthus palmeri
GFQH	Prunus armeniaca
GFQI	Schmidtea mediterranea
GFQJ	Deinococcus radiodurans
GFQK	Agrostis stolonifera
GFQL	Carposina sasakii
GFQM	Phelipanche aegyptiaca
GFQN	Melastoma malabathricum
GFQO	Zoysia japonica
GFQP	Eriocrania semipurpurella
GFQQ	Thrips tabaci
GFQR	Aloe vera
GFRL	Phyllomimus sinicus
GFRM	Digitaria sanguinalis
GFRN	Paracentrotus lividus
GFRO	Montipora capitata
GFRP	Penaeus vannamei
GFRQ	Ocimum tenuiflorum
GFRR	Ocimum tenuiflorum
GFRS	Ocimum tenuiflorum
GFRT	Penaeus penicillatus
GFRU	Ocimum tenuiflorum
GFRV	Plutella xylostella
GFRW	Syngnathus scovelli
GFRX	Panax notoginseng
GFRY	Notospermus geniculatus
GFRZ	Symsagittifera roscoffensis
GFSA	Hofstenia miamia
GFSB	Hypericum perforatum
GFSC	Phoronis australis
GFSD	Eumetopias jubatus
GFSE	Gampsocleis gratiosa
GFSF	Trichoplax sp. H2
